academic_year,institution,provider_id,programme_count,detail_html_path,detail_endpoint,score_pdf_url
2025/26,Caritas Bianchi College of Careers,CB/01,9,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf
2025/26,Gratia Christian College,GCC/01,9,data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf
2025/26,HKCT Institute of Higher Education,CTIHE/01,8,data/raw/cspe/details/2025_26/ctihe-01-hkct-institute-of-higher-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CTIHE01.pdf
2025/26,HKU SPACE Po Leung Kuk Stanley Ho Community College,HPCC/01,32,data/raw/cspe/details/2025_26/hpcc-01-hku-space-po-leung-kuk-stanley-ho-community-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_HPCC01.pdf
2025/26,Hong Kong Adventist College,AC/01,1,data/raw/cspe/details/2025_26/ac-01-hong-kong-adventist-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_AC01.pdf
2025/26,Hong Kong Baptist University - College of International Education,BU/02,28,data/raw/cspe/details/2025_26/bu-02-hong-kong-baptist-university-college-of-international-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_BU02.pdf
2025/26,Hong Kong Baptist University - School of Continuing Education,BU/03,8,data/raw/cspe/details/2025_26/bu-03-hong-kong-baptist-university-school-of-continuing-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_BU03.pdf
2025/26,Hong Kong Chu Hai College,CHC/01,14,data/raw/cspe/details/2025_26/chc-01-hong-kong-chu-hai-college.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CHC01.pdf
2025/26,Hong Kong College of Technology,CT/01,12,data/raw/cspe/details/2025_26/ct-01-hong-kong-college-of-technology.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CT01.pdf
2025/26,Hong Kong Institute of Technology,CIT/01,11,data/raw/cspe/details/2025_26/cit-01-hong-kong-institute-of-technology.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CIT01.pdf
2025/26,Hong Kong Metropolitan University,OU/01,50,data/raw/cspe/details/2025_26/ou-01-hong-kong-metropolitan-university.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_OU01.pdf
2025/26,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education,OU/02,13,data/raw/cspe/details/2025_26/ou-02-hong-kong-metropolitan-university-li-ka-shing-school-of-professional-and-continuing-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_OU02.pdf
2025/26,Hong Kong Nang Yan College of Higher Education,BUD/01,2,data/raw/cspe/details/2025_26/bud-01-hong-kong-nang-yan-college-of-higher-education.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_BUD01.pdf
2025/26,Hong Kong Shue Yan University,SY/01,20,data/raw/cspe/details/2025_26/sy-01-hong-kong-shue-yan-university.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_SY01.pdf
2025/26,Lingnan University,LU/01,5,data/raw/cspe/details/2025_26/lu-01-lingnan-university.html,https://www.cspe.edu.hk/connector/en/concourse/admission-scores/detail,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_LU01.pdf
