academic_year,institution,provider_id,programme_title,area_of_study,mean,median,lower_quartile,upper_quartile,highest,score_range,raw_score_text,raw_row_json,raw_source_local_path,score_source_url,source_confidence
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Film and Media Production,"Arts, Design and Performing Arts",12,,,,,,"Areas of Study & Training: Arts, Design and Performing Arts | Programme: Higher Diploma in Film and Media Production | Average Score: 12","{""Areas of Study & Training"": ""Arts, Design and Performing Arts"", ""Average Score"": ""12"", ""Programme"": ""Higher Diploma in Film and Media Production""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Music Studies,"Arts, Design and Performing Arts",15,,,,,,"Areas of Study & Training: Arts, Design and Performing Arts | Programme: Higher Diploma in Music Studies | Average Score: 15","{""Areas of Study & Training"": ""Arts, Design and Performing Arts"", ""Average Score"": ""15"", ""Programme"": ""Higher Diploma in Music Studies""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Design,"Arts, Design and Performing Arts",13,,,,,,"Areas of Study & Training: Arts, Design and Performing Arts | Programme: Higher Diploma in Design | Average Score: 13","{""Areas of Study & Training"": ""Arts, Design and Performing Arts"", ""Average Score"": ""13"", ""Programme"": ""Higher Diploma in Design""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Associate Degree in Business,Business and Management,14,,,,,,Areas of Study & Training: Business and Management | Programme: Associate Degree in Business | Average Score: 14,"{""Areas of Study & Training"": ""Business and Management"", ""Average Score"": ""14"", ""Programme"": ""Associate Degree in Business""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Translation Technology and Modern Languages,Languages and Related Studies,12,,,,,,Areas of Study & Training: Languages and Related Studies | Programme: Higher Diploma in Translation Technology and Modern Languages | Average Score: 12,"{""Areas of Study & Training"": ""Languages and Related Studies"", ""Average Score"": ""12"", ""Programme"": ""Higher Diploma in Translation Technology and Modern Languages""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Health Care,"Medicine, Dentistry and Health Sciences",13,,,,,,"Areas of Study & Training: Medicine, Dentistry and Health Sciences | Programme: Higher Diploma in Health Care | Average Score: 13","{""Areas of Study & Training"": ""Medicine, Dentistry and Health Sciences"", ""Average Score"": ""13"", ""Programme"": ""Higher Diploma in Health Care""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Pharmaceutical Dispensing,"Medicine, Dentistry and Health Sciences",13,,,,,,"Areas of Study & Training: Medicine, Dentistry and Health Sciences | Programme: Higher Diploma in Pharmaceutical Dispensing | Average Score: 13","{""Areas of Study & Training"": ""Medicine, Dentistry and Health Sciences"", ""Average Score"": ""13"", ""Programme"": ""Higher Diploma in Pharmaceutical Dispensing""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Human Services,Services,11,,,,,,Areas of Study & Training: Services | Programme: Higher Diploma in Human Services | Average Score: 11,"{""Areas of Study & Training"": ""Services"", ""Average Score"": ""11"", ""Programme"": ""Higher Diploma in Human Services""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Caritas Bianchi College of Careers,CB/01,Higher Diploma in Hospitality Management,Services,13,,,,,,Areas of Study & Training: Services | Programme: Higher Diploma in Hospitality Management | Average Score: 13,"{""Areas of Study & Training"": ""Services"", ""Average Score"": ""13"", ""Programme"": ""Higher Diploma in Hospitality Management""}",data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,official_html_extracted_needs_review
2025/26,Gratia Christian College,GCC/01,Bachelor of Service Management (Honours),Business and Management,16,,,,,,Areas of Study & Training: Business and Management | Programme: Bachelor of Service Management (Honours) | Average Score: 16 | Remarks: all Undergraduate programmes,"{""Areas of Study & Training"": ""Business and Management"", ""Average Score"": ""16"", ""Programme"": ""Bachelor of Service Management (Honours)"", ""Remarks"": ""all Undergraduate programmes""}",data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf,official_html_extracted_needs_review
2025/26,Gratia Christian College,GCC/01,Higher Diploma in Transformative Business Management Programme,Business and Management,12,,,,,,Areas of Study & Training: Business and Management | Programme: Higher Diploma in Transformative Business Management Programme | Average Score: 12 | Remarks: all Sub-degree programmes,"{""Areas of Study & Training"": ""Business and Management"", ""Average Score"": ""12"", ""Programme"": ""Higher Diploma in Transformative Business Management Programme"", ""Remarks"": ""all Sub-degree programmes""}",data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf,official_html_extracted_needs_review
2025/26,Gratia Christian College,GCC/01,Higher Diploma in Early Childhood Education Programme,Education,12,,,,,,Areas of Study & Training: Education | Programme: Higher Diploma in Early Childhood Education Programme | Average Score: 12 | Remarks: all Sub-degree programmes,"{""Areas of Study & Training"": ""Education"", ""Average Score"": ""12"", ""Programme"": ""Higher Diploma in Early Childhood Education Programme"", ""Remarks"": ""all Sub-degree programmes""}",data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf,official_html_extracted_needs_review
2025/26,Gratia Christian College,GCC/01,Bachelor of Christian Ministry (Honours),Humanities,16,,,,,,Areas of Study & Training: Humanities | Programme: Bachelor of Christian Ministry (Honours) | Average Score: 16 | Remarks: all Undergraduate programmes,"{""Areas of Study & Training"": ""Humanities"", ""Average Score"": ""16"", ""Programme"": ""Bachelor of Christian Ministry (Honours)"", ""Remarks"": ""all Undergraduate programmes""}",data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf,official_html_extracted_needs_review
