source_system,academic_year,institution,institution_chinese,programme_code,programme_id,programme_title,programme_title_chinese,award_level,area_of_study,funding_category,mode_of_study,normal_duration,tuition_fee,score_system,score_comparability_group,score_formula,score_formula_url,upper_quartile,median,lower_quartile,mean,highest,lowest_or_minimum_admitted,min_or_other_score,requirements_summary,chinese_requirement,english_requirement,math_requirement,citizenship_requirement,elective_requirements,specific_subject_requirements,interview_or_portfolio,selection_notes,programme_description,articulation_or_career_notes,programme_url,score_source_url,requirements_source_url,raw_source_local_path,source_confidence,last_retrieved_at,notes
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,24E3C40C-6CF8-4565-9742-41DF97DE9BCA,Associate Degree in Business,,Associate Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjRFM0M0MEMtNkNGOC00NTY1LTk3NDItNDFERjk3REU5QkNB&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MjRFM0M0MEMtNkNGOC00NTY1LTk3NDItNDFERjk3REU5QkNB&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,B6D019F9-C666-412B-82BB-8A2C0BD747BA,Higher Diploma in Design,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QjZEMDE5RjktQzY2Ni00MTJCLTgyQkItOEEyQzBCRDc0N0JB&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QjZEMDE5RjktQzY2Ni00MTJCLTgyQkItOEEyQzBCRDc0N0JB&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,4898852E-4B78-4064-AA41-3CDD68C39593,Higher Diploma in Film and Media Production,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NDg5ODg1MkUtNEI3OC00MDY0LUFBNDEtM0NERDY4QzM5NTkz&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NDg5ODg1MkUtNEI3OC00MDY0LUFBNDEtM0NERDY4QzM5NTkz&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,0240CD2D-1A58-41BE-AE76-CF96A1BAFD4B,Higher Diploma in Health Care,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MDI0MENEMkQtMUE1OC00MUJFLUFFNzYtQ0Y5NkExQkFGRDRC&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MDI0MENEMkQtMUE1OC00MUJFLUFFNzYtQ0Y5NkExQkFGRDRC&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,73B96B71-E2FD-4147-8244-9E543BBD36CB,Higher Diploma in Hospitality Management,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NzNCOTZCNzEtRTJGRC00MTQ3LTgyNDQtOUU1NDNCQkQzNkNC&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NzNCOTZCNzEtRTJGRC00MTQ3LTgyNDQtOUU1NDNCQkQzNkNC&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,39F24A33-90E3-46CD-920F-4527B1E5817D,Higher Diploma in Human Services,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MzlGMjRBMzMtOTBFMy00NkNELTkyMEYtNDUyN0IxRTU4MTdE&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MzlGMjRBMzMtOTBFMy00NkNELTkyMEYtNDUyN0IxRTU4MTdE&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,9E0924CE-A76A-476F-BFC3-8DBA52877696,Higher Diploma in Music Studies,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=OUUwOTI0Q0UtQTc2QS00NzZGLUJGQzMtOERCQTUyODc3Njk2&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=OUUwOTI0Q0UtQTc2QS00NzZGLUJGQzMtOERCQTUyODc3Njk2&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,66752A7D-36DC-43C6-8AC6-3F15F3C760F6,Higher Diploma in Pharmaceutical Dispensing,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NjY3NTJBN0QtMzZEQy00M0M2LThBQzYtM0YxNUYzQzc2MEY2&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=NjY3NTJBN0QtMzZEQy00M0M2LThBQzYtM0YxNUYzQzc2MEY2&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Caritas Bianchi College of Careers,,CB/01,322DA67A-0B40-41DC-ABD3-4AD2101BD9E6,Higher Diploma in Translation Technology and Modern Languages,,Higher Diploma,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MzIyREE2N0EtMEI0MC00MURDLUFCRDMtNEFEMjEwMUJEOUU2&provId=CB/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_CB01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=MzIyREE2N0EtMEI0MC00MURDLUFCRDMtNEFEMjEwMUJEOUU2&provId=CB/01&year=2025/26,data/raw/cspe/details/2025_26/cb-01-caritas-bianchi-college-of-careers.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
cspe,2025/26,Gratia Christian College,,GCC/01,BA89BB6E-A9CE-40AE-92A4-FC0D98902894,Bachelor of Christian Ministry (Honours),,Bachelor's Degree,,,,,,CSPE Common Scoring System or institution-submitted statistics,cspe_common_scoring_or_provider_grouped,"HKDSE 5**=7, 5*=6, 5=5, 4=4, 3=3, 2=2, 1=1, U=0 unless source notes otherwise",,,,,,,,,,,,,,,,,,,,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QkE4OUJCNkUtQTlDRS00MEFFLTkyQTQtRkMwRDk4OTAyODk0&provId=GCC/01&year=2025/26,https://feddcs.cspe.edu.hk/ShareFile/pdf/en/admission_score/202526/IF_adm_score_2025_GCC01.pdf,https://www.cspe.edu.hk/en/ipass/prog-details?progId=QkE4OUJCNkUtQTlDRS00MEFFLTkyQTQtRkMwRDk4OTAyODk0&provId=GCC/01&year=2025/26,data/raw/cspe/details/2025_26/gcc-01-gratia-christian-college.html,catalog_only_needs_score_extraction,,Seed row; actual score fields pending extraction from CSPE detail HTML/PDF.
